All,ಎಲ್ಲಾ
"Dismiss All Completed Tasks","ಪೂರ್ಣಗೊಂಡ ಎಲ್ಲಾ ಕೆಲಸಗಳನ್ನು ವಜಾಗೊಳಿಸಿ"
"Action Details - #","ಕ್ರಿಯಗಳ ವಿವರ - #"
"The role wasn't found for the user. Verify the role and try again.","ಬಳಕೆದಾರರಿಗೆ ಹುದ್ದೆ ಕಂಡುಬಂದಿಲ್ಲ. ಹುದ್ದೆಯನ್ನು ಪರಿಶೀಲಿಸಿ ಮತ್ತು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ."
"You created the order.","ನೀವು ವ್ಯಾಪಾರಾದೇಶ ರಚಿಸಿದ್ದೀರಿ."
"Please choose a payment method.","ದಯವಿಟ್ಟು ಪಾವತಿ ವಿದಾನವನ್ನು ಆರಿಸಿ."
"An error occurred on the server. Please try to place the order again.","ಸರ್ವರ್ ನಲ್ಲಿ ದೋಷವುಂಟಾಗಿದೆ. ದಯವಿಟ್ಟು ನಿಮ್ಮ ವ್ಯಾಪಾರಾದೇಶವನ್ನು ಮತ್ತೊಮ್ಮೆ ಸಲ್ಲಿಸಿ."
"Credit Card: xxxx-%1","ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್: xxxx-%1"
"amount %1","ಮೊತ್ತ %1"
failed.,ವಿಫಲಗೊಂಡಿದೆ.
successful.,ಯಶಸ್ವಿಯಾಗಿದೆ.
authorize,ದೃಢೀಕರಿಸಿ
refund,ಮರುಪಾವತಿಸಿ
"Something went wrong in the payment gateway.","ಪಾವತಿ ಗೇಟ್‍‍ವೇನಲ್ಲಿ ಯಾವುದೋ ದೋಷ ಸಂಭವಿಸಿದೆ."
"Invalid amount for refund.","ಮರುಪಾವತಿಗೆ ಅಮಾನ್ಯವಾದ ಮೊತ್ತ."
"There was a payment authorization error.","ಪಾವತಿ ದೃಢೀಕರಣದ ಒಂದು ದೋಷ ಸಂಭವಿಸಿದೆ."
"Authorize Only","ದೃಢೀಕರಣ ಮಾತ್ರ"
"Credit Card Type","ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ವಿಧ"
"Please Select","ದಯವಿಟ್ಟು ಆರಿಸಿ"
"Credit Card Number","ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ಸಂಖ್ಯೆ"
"Expiration Date","ಅವಧಿ ಅಂತ್ಯದ ದಿನಾಂಕ"
"Card Verification Number","ಕಾರ್ಡಿನ ಪರಿಶೀಲನಾ ಸಂಖ್ಯೆ"
"Place Order",ಖರೀದಿಸಿ
"Sorry, but something went wrong. Please contact the seller.","ಕ್ಷಮಿಸಿ, ಏನೋ ದೋಷವುಂಟಾಗಿದೆ. ದಯವಿಟ್ಟು ವರ್ತಕರನ್ನು ಸಂಪರ್ಕಿಸಿ."
Enabled,ಸಕ್ರಿಯವಾಗಿದೆ
"Payment Action","ಪಾವತಿ ಕ್ರಿಯೆ"
Title,ಶೀರ್ಷಿಕೆ
"API Login ID","API ಲಾಗಿನ್ ID"
"Transaction Key","ವಹಿವಾಟಿನ ಕೀ"
"Merchant MD5","ವರ್ತಕರ MD5"
"New Order Status","ಹೊಸ ವ್ಯಾಪಾರಾದೇಶದ ಸ್ಠಿತಿ"
"Test Mode","ಪರೀಕ್ಷಾ ಕ್ರಮ"
"Transaction Details URL","ವ್ಯವಹಾರದ ವಿವರಗಳ URL"
"Accepted Currency","ಅಂಗೀಕರಿಸುವ ಕರೆನ್ಸಿ"
Debug,ಡೀಬಗ್
"Email Customer","ಗ್ರಾಹಕರಿಗೆ ಮಿಂಚೆ ಕಳುಹಿಸಿ"
"Merchant's Email","ವರ್ತಕರ ಮಿಂಚೆ"
"Credit Card Types","ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ವಿಧ"
"Credit Card Verification","ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ಪರಿಶೀಲನೆ"
"Payment from Applicable Countries","ಅನ್ವಯವಾಗುವ ರಾಷ್ಟ್ರಗಳಿಂದ ಪಾವತಿ"
"Payment from Specific Countries","ನಿರ್ದಿಷ್ಟ ರಾಷ್ಟ್ರಗಳಿಂದ ಪಾವತಿ"
"Minimum Order Total","ಕನಿಷ್ಟ ವ್ಯಾಪಾರಾದೇಶದ ಮೊತ್ತ"
"Maximum Order Total","ಗರಿಷ್ಟ ವ್ಯಾಪಾರಾದೇಶದ ಮೊತ್ತ"
"Sort Order","ವಿಂಗಡಣಾ ಕ್ರಮ"
"Cannot place order.","ವ್ಯಾಪಾರಾದೇಶಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ."
"There was an error while trying to process the request.","ವಿನಂತಿಯನ್ನು ಸಂಸ್ಕರಿಸುವಲ್ಲಿ ಒಂದು ದೋಷವುಂಟಾಗಿದೆ."
Environment,ಪರಿಸರ
"Credit Card Types","ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ವಿಧಗಳು"
"Transaction has been declined. Please try again later.","ವಹಿವಾಟನ್ನು ನಿರಾಕರಿಸಲಾಗಿದೆ. ದಯವಿಟ್ಟು ನಂತರ ಪ್ರಯತ್ನಿಸಿ."
options,ಆಯ್ಕೆಗಳು
"Select all","ಎಲ್ಲವನ್ನೂ ಆರಿಸು"
"We couldn't find any records.","ನಮಗೆ ಯಾವುದೇ ದಾಖಲೆಗಳು ಕಂಡುಬಂದಿಲ್ಲ."
Show,ಪ್ರದರ್ಶಿಸಿ
"per page","ಪ್ರತಿ ಪುಟಕ್ಕೆ"
"%s of %s selected","%s ರಲ್ಲಿ %s ಆರಿಸಲಾಗಿದೆ"
"Search by keyword","ಮುಖ್ಯಪದದ ಆಧಾರದಲ್ಲಿ ಹುಡುಕಿ"
"This is a required field.","ಇದು ಅಗತ್ಯವಿರುವ ವಲಯ."
"B2B Features","B2B ಲಕ್ಷಣಗಳು"
Orders,ವ್ಯಾಪಾರಾದೇಶಗಳು
Amounts,ಮೊತ್ತಗಳು
Bestsellers,"ಅತಿಹೆಚ್ಚು ಮಾರಾಟವಾಗುವ"
"Most Viewed Products","ಹೆಚ್ಚು ವೀಕ್ಷಿಸಿದ ಉತ್ಪನ್ನಗಳು"
"New Customers","ಹೊಸ ಗ್ರಾಹಕರು"
Customer,ಗ್ರಾಹಕರು
Guest,ಅತಿಥಿ
Items,ವಸ್ತುಗಳು
Total,"ಒಟ್ಟು ಮೊತ್ತ"
"Lifetime Sales","ಆಜೀವ ಪರ್ಯಂತ ಮಾರಾಟ"
"Average Order","ಸಾಧಾರಣ ವ್ಯಾಪಾರಾದೇಶ"
Average,ಸರಾಸರಿ
Views,ನೋಟಗಳು
Revenue,ಆದಾಯ
Tax,ತೆರಿಗೆ
Shipping,ರವಾನೆ
"Images (.gif, .jpg, .png)","ಚಿತ್ರಗಳು (.gif, .jpg, .png)"
"Media (.avi, .flv, .swf)","ಮಾಧ್ಯಮ (.avi, .flv, .swf)"
"All Files","ಎಲ್ಲಾ ಕಡತಗಳು"
"Reset to Default","ಪೂರ್ವನಿಯೋಜಿತಕ್ಕೆ ಮರುಹೊಂದಿಸು"
"All Store Views","ಎಲ್ಲಾ ಮಳಿಗೆಗಳ ನೋಟಗಳು"
"What is this?","ಇದು ಏನು?"
"Save Account","ಖಾತೆಯನ್ನು ಉಳಿಸಿ"
"My Account","ನನ್ನ ಖಾತೆ"
"Account Information","ಖಾತೆಯ ಮಾಹಿತಿ"
"User Name","ಬಳಕೆದಾರರ ಹೆಸರು"
"First Name","ಮೊದಲ ಹೆಸರು"
"Last Name","ಕೊನೆಯ ಹೆಸರು"
Email,ಮಿಂಚೆ
"User Email","ಬಳಕೆದಾರರ ಮಿಂಚೆ"
"New Password","ಹೊಸ ಗುಪ್ತಪದ"
"Password Confirmation","ಗುಪ್ತಪದದ ದೃಢೀಕರಣ"
"Current User Identity Verification","ಪ್ರಸ್ತುತ ಬಳಕೆದಾರರ ಗುರುತು ಪರಿಶೀಲನೆ"
"Your Password","ನಿಮ್ಮ ಗುಪ್ತಪದ"
Refresh,ತಾಜಾಗೊಳಿಸು
Clear,ತೆರವುಗೊಳಿಸಿ
"No change","ಯಾವುದೇ ಬದಲಾವಣೆ ಇಲ್ಲ"
Disable,ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಿ
Enable,ಸಕ್ರಿಯಗೊಳಿಸಿ
"Add Design Change","ವಿನ್ಯಾಸ ಬದಲಾವಣೆ ಸೇರಿಸಿ"
Delete,ಅಳಿಸಿ
Save,ಉಳಿಸಿ
"Edit Design Change","ವಿನ್ಯಾಸ ಬದಲಾವಣೆ ಸಂಪಾದಿಸಿ"
"New Store Design Change","ಹೊಸ ಮಳಿಗೆ ವಿನ್ಯಾಸ ಬದಲಾವಣೆ"
"General Settings","ಸಾಮಾನ್ಯ ಸಂಯೋಜನೆಗಳು"
"-- Please Select --","--ದಯವಿಟ್ಟು ಆರಿಸಿ--"
"Custom Design","ಒಗ್ಗಿಸಿದ ವಿನ್ಯಾಸ"
"Date From",ದಿನಾಂಕದಿಂದ
"Date To",ದಿನಾಂಕದವರೆಗೆ
"Design Change","ವಿನ್ಯಾಸ ಬದಲಾವಣೆ"
General,ಸಾಮಾನ್ಯ
"Delete %1 '%2'","ಅಳಿಸಿ %1 '%2'"
"Delete %1","ಅಳಿಸಿ %1"
"Block Information","ಬ್ಲಾಕ್ ಮಾಹಿತಿ"
"Backup Options","ಬ್ಯಾಕಪ್ ಆಯ್ಕೆಗಳು"
"Create DB Backup","DB ಬ್ಯಾಕಪ್ ರಚಿಸಿ"
"Delete Store","ಮಳಿಗೆ ಅಳಿಸಿ"
"Delete Web Site","ಜಾಲತಾಣ ಅಳಿಸಿ"
"Save Web Site","ಜಾಲತಾಣ ಉಳಿಸಿ"
"Save Store","ಮಳಿಗೆ ಉಳಿಸಿ"
"Save Store View","ಮಳಿಗೆ ನೋಟ ಉಳಿಸಿ"
"Delete Store View","ಮಳಿಗೆ ನೋಟ ಅಳಿಸಿ"
"Edit Web Site","ಜಾಲತಾಣ ಸಂಪಾದಿಸಿ"
"New Web Site","ಹೊಸ ಜಾಲತಾಣ"
"Edit Store","ಮಳಿಗೆ ಸಂಪಾದಿಸಿ"
"New Store","ಹೊಸ ಮಳಿಗೆ"
"Edit Store View","ಮಳಿಗೆ ನೋಟ ಸಂಪಾದಿಸಿ"
"New Store View","ಹೊಸ ಮಳಿಗೆ ನೋಟ"
"Store Information","ಮಳಿಗೆ ಮಾಹಿತಿ"
"Web Site",ಜಾಲತಾಣ
Name,ಹೆಸರು
Code,ಸಂಕೇತ
"Root Category","ಮೂಲ ವಿಭಾಗ"
"Default Store View","ನಿಯೋಜಿತ ಮಳಿಗೆ ನೋಟ"
"Store View Information","ಮಳಿಗೆ ನೋಟದ ಮಾಹಿತಿ"
Disabled,ನಿಷ್ಕ್ರಿಯವಾಗಿದೆ
"Web Site Information","ಜಾಲತಾಣ ಮಾಹಿತಿ"
"Default Store","ನಿಯೋಜಿತ ಮಳಿಗೆ"
Stores,ಮಳಿಗೆಗಳು
"Create Website","ಜಾಲತಾಣ ರಚಿಸಿ"
"Create Store","ಮಳಿಗೆ ರಚಿಸಿ"
"Create Store View","ಮಳಿಗೆ ನೋಟ ರಚಿಸಿ"
Home,ಮುಖಪುಟ
"Are you sure you want to do this?","ಇದನ್ನು ಮಾಡಲು ನೀವು ಖಚಿತವಾಗಿ ಬಯಸುವಿರಾ?"
label,ಲೇಬಲ್
"Add New Image","ಹೊಸ ಚಿತ್ರಗಳನ್ನು ಸೇರಿಸಿ"
Search,ಹುಡುಕಿ
Any,ಯಾವುದೇ
"All Countries","ಎಲ್ಲಾ ದೇಶಗಳು"
From,ಇಂದ
To,ಗೆ
"Select All","ಎಲ್ಲವನ್ನೂ ಆರಿಸಿ"
"Add New","ಹೊಸದನ್ನು ಸೇರಿಸಿ"
Export,ರಫ್ತು
"An item needs to be selected. Select and try again.","ಒಂದು ವಸ್ತುವನ್ನು ಆರಿಸಬೇಕಾಗಿದೆ. ಆರಿಸಿ ಮತ್ತು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ."
Submit,ಸಲ್ಲಿಸಿ
"You have logged out.","ನೀವು ಸೈನ್ ಔಟ್ ಆಗಿದ್ದೀರಿ."
"invalid request","ಅಸಿಂಧುವಾದ ವಿನಂತಿ"
"Service unavailable: %1","ಸೇವೆಯು ಲಭ್ಯವಿಲ್ಲ: %1"
"Access Denied.","ಅನುಮತಿಯನ್ನು ನಿರಾಕರಿಸಲಾಗಿದೆ."
"You saved the account.","ನೀವು ಖಾತೆಯನ್ನು ಉಳಿಸಿದ್ದೀರಿ."
"An error occurred while saving account.","ಖಾತೆಯನ್ನು ಉಳಿಸುವಾಗ ಒಂದು ದೋಷ ಕಂಡು ಬಂದಿದೆ."
"You deleted the design change.","ವಿನ್ಯಾಸ ಬದಲಾವಣೆ ಯನ್ನು ನೀವು ಅಳಿಸಿದ್ದೀರಿ."
"You can't delete the design change.","ವಿನ್ಯಾಸ ಬದಲಾವಣೆ ಯನ್ನು ನೀವು ಅಳಿಸಲು ಆಗುವುದಿಲ್ಲ."
"Store Design","ಮಳಿಗೆ ವಿನ್ಯಾಸ"
"Edit Store Design Change","ವಿನ್ಯಾಸ ಬದಲಾವಣೆ ಸಂಪಾದಿಸಿ"
"You saved the design change.","ವಿನ್ಯಾಸ ಬದಲಾವಣೆ ಯನ್ನು ನೀವು ಉಳಿಸಿದ್ದೀರಿ."
System,ವ್ಯವಸ್ಥೆ
"Manage Stores","ಮಳಿಗೆಗಳನ್ನು ನಿರ್ವಹಿಸಿ"
"Something went wrong. Please try again.","ಏನೋ ದೋಷವುಂಟಾಗಿದೆ. ದಯವಿಟ್ಟು ನಂತರ ಮತ್ತೊಮ್ಮೆ ಪ್ರಯತ್ನಿಸಿ."
"This store cannot be deleted.","ಈ ಮಳಿಗೆಯನ್ನು ಅಳಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ."
"You deleted the store.","ನೀವು ಮಳಿಗೆಯನ್ನು ಅಳಿಸಿದ್ದೀರಿ."
"Unable to delete the store. Please try again later.","ಮಳಿಗೆಯನ್ನು ಅಳಿಸಲಾಗಲಿಲ್ಲ. ದಯವಿಟ್ಟು ನಂತರ ಮತ್ತೊಮ್ಮೆ ಪ್ರಯತ್ನಿಸಿ."
"Store View","ಮಳಿಗೆ ನೋಟ"
"You deleted the store view.","ನೀವು ಮಳಿಗೆ ನೋಟವನ್ನು ಅಳಿಸಿದ್ದೀರಿ."
"Unable to delete the store view. Please try again later.","ಮಳಿಗೆ ನೋಟವನ್ನು ಅಳಿಸಲಾಗಲಿಲ್ಲ. ದಯವಿಟ್ಟು ನಂತರ ಮತ್ತೊಮ್ಮೆ ಪ್ರಯತ್ನಿಸಿ."
"This website cannot be deleted.","ಈ ಜಾಲತಾಣವನ್ನು ಅಳಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ."
"You deleted the website.","ನೀವು ಜಾಲತಾಣವನ್ನು ಅಳಿಸಿದ್ದೀರಿ."
"Unable to delete the website. Please try again later.","ಜಾಲತಾಣವನ್ನು ಅಳಿಸಲಾಗಲಿಲ್ಲ. ದಯವಿಟ್ಟು ನಂತರ ಮತ್ತೊಮ್ಮೆ ಪ್ರಯತ್ನಿಸಿ."
"The website does not exist.","ಜಾಲತಾಣ ಅಸ್ತಿತ್ವದಲ್ಲಿಲ್ಲ."
"The store does not exist","ಮಳಿಗೆ ಅಸ್ತಿತ್ವದಲ್ಲಿಲ್ಲ"
"Store view doesn't exist","ಮಳಿಗೆ ನೋಟ ಅಸ್ತಿತ್ವದಲ್ಲಿಲ್ಲ"
"New ","ಹೊಸತು "
"All Stores","ಎಲ್ಲಾ ಮಳಿಗೆಗಳು"
"You saved the website.","ನೀವು ಜಾಲತಾಣವನ್ನು ಉಳಿಸಿದ್ದೀರಿ."
"You saved the store view.","ನೀವು ಮಳಿಗೆ ನೋಟವನ್ನು ಉಳಿಸಿದ್ದೀರಿ."
"You saved the store.","ನೀವು ಮಳಿಗೆಯನ್ನು ಉಳಿಸಿದ್ದೀರಿ."
"Something went wrong while saving. Please review the error log.","ಉಳಿಸುವಲ್ಲಿ ಏನೋ ತೊಂದರೆಯಾಗಿದೆ. ದಯವಿಟ್ಟು ಎರರ್ ಲಾಗ್ ಅನ್ನು ಪರಿಶೀಲಿಸಿ."
"Last 24 Hours","ಕೊನೆಯ 24 ಗಂಟೆಗಳು"
"Last 7 Days","ಕೊನೆಯ 7 ದಿನಗಳು"
"Current Month","ಪ್ರಸ್ತುತ ತಿಂಗಳು"
Order,ವ್ಯಾಪಾರಾದೇಶ
"Order #%1","ವ್ಯಾಪಾರಾದೇಶ #%1"
"Save &amp; Continue","ಉಳಿಸಿ &amp; ಮುಂದುವರೆಯಿರಿ"
"Save &amp; Close","ಉಳಿಸಿ &amp; ಮುಚ್ಚಿರಿ"
"Sorry, you need permissions to view this content.","ಕ್ಷಮಿಸಿ, ಈ ವಿಷಯವನ್ನು ವೀಕ್ಷಿಸಲು ನಿಮಗೆ ಅನುಮತಿಯ ಅಗತ್ಯವಿದೆ."
"Next steps","ಮುಂದಿನ ಹೆಜ್ಜೆಗಳು"
"Return to ","ಇಲ್ಲಿಗೆ ಹಿಂದಿರುಗಿಸಿ "
"previous page","ಹಿಂದಿನ ಪುಟ"
"Welcome, please sign in","ಸುಸ್ವಾಗತ, ದಯವಿಟ್ಟು ಸೈನ್ ಇನ್ ಆಗಿ"
Username,"ಬಳಕೆದಾರ ಹೆಸರು"
"user name","ಬಳಕೆದಾರರ ಹೆಸರು"
Password,ಗುಪ್ತಪದ
password,ಗುಪ್ತಪದ
"Sign in","ಸೈನ್ ಇನ್"
"No Data Found","ಯಾವುದೇ ದತ್ತಾಂಶ ಕಂಡುಬಂದಿಲ್ಲ"
"Last Orders","ಹಿಂದಿನ ವ್ಯಾಪಾರಾದೇಶಗಳು"
"All Websites","ಎಲ್ಲಾ ಜಾಲತಾಣಗಳು"
"Account Setting","ಖಾತೆ ಸಂಯೋಜನೆ"
"Customer View","ಗ್ರಾಹಕರ ನೋಟ"
"Sign Out","ಸೈನ್ ಔಟ್"
"About the calendar","ದಿನದರ್ಶಿಕೆ ಬಗ್ಗೆ"
"Go Today","ಇಂದಿನ ದಿನಕ್ಕೆ ತೆರಳಿ"
Previous,ಹಿಂದಿನ
Next,ಮುಂದೆ
Time,ಸಮಯ
Hour,ಗಂಟೆ
Minute,ನಿಮಿಷ
"Privacy Policy","ಗೌಪ್ಯತಾ ನೀತಿ"
"Report an Issue","ದೋಷವನ್ನು ವರದಿ ಮಾಡಿ"
Scope:,ವ್ಯಾಪ್ತಿ:
"Stores Configuration","ಮಳಿಗೆಗಳ ಸಂರಚನೆ"
"No records found.","ಯಾವುದೇ ದಾಖಲೆಗಳು ಕಂಡುಬಂದಿಲ್ಲ."
Images,ಚಿತ್ರಗಳು
"Big Image","ದೊಡ್ಡ ಚಿತ್ರ"
Thumbnail,ಕಿರುಚಿತ್ರ
"Additional Settings","ಹೆಚ್ಚುವರಿ ಸಂಯೋಜನೆಗಳು"
"records found","ದಾಖಲೆಗಳು ಕಂಡುಬಂದಿವೆ"
selected,ಆರಿಸಲಾದ
"Previous page","ಹಿಂದಿನ ಪುಟ"
"Next page","ಮುಂದಿನ ಪುಟ"
"Export to:","ಇಲ್ಲಿಗೆ ರಫ್ತುಮಾಡಿ:"
"Mass Actions","ಸಾಮೂಹಿಕ ಕ್ರಿಯೆಗಳು"
"Select Visible","ಕಾಣುತ್ತಿರುವುವುಗಳನ್ನು ಆರಿಸಿ"
Loading...,ಸಜ್ಜುಗೊಳಿಸಲಾಗುತ್ತಿದೆ...
"User Agent Rules","ಬಳಕೆದಾರ ಏಜೆಂಟ್ ನಿಯಮಗಳು"
Examples,ಉದಾಹರಣೆಗಳು
"Use Default Value","ನಿಯೋಜಿತ ನಮೂದನ್ನು ಬಳಸಿ"
"We could not detect a size.","ನಮಗೆ ಗಾತ್ರವನ್ನು ಗುರುತಿಸಲಾಗಲಿಲ್ಲ."
"Warning message","ಎಚ್ಚರಿಕೆ ಸಂದೇಶ"
"This operation can take a long time","ಈ ಕಾರ್ಯಾಚರಣೆ ಬಹಳ ಸಮಯ ತೆಗೆದುಕೊಳ್ಳಬಹುದು"
"Allow everything","ಎಲ್ಲವನ್ನೂ ಅನುಮತಿಸಿ"
Marketing,ವ್ಯಾಪಾರೋದ್ಯಮ
Content,ವಿಷಯ
Elements,ಘಟಕಗಳು
Design,ವಿನ್ಯಾಸ
"Content translation",ವಿಷಯಾನುವಾದ
Settings,ಸಂಯೋಜನೆಗಳು
Attributes,ಗುಣವಿಶೇಷಗಳು
"Other Settings","ಇತರೆ ಸಂಯೋಜನೆಗಳು"
"Data Transfer","ದತ್ತಾಂಶ ವರ್ಗಾವಣೆ"
Tools,ಉಪಕರಣಗಳು
Currency,ಕರೆನ್ಸಿ
Communications,ಸಂವಹನಗಳು
Services,ಸೇವೆಗಳು
Advanced,ಸುಧಾರಿತ
"Store Email Addresses","ಮಳಿಗೆ ಮಿಂಚೆ ವಿಳಾಸಗಳು"
"Sender Email","ರವಾನೆದಾರರ ಮಿಂಚೆ"
"Sender Name","ರವಾನೆದಾರರ ಹೆಸರು"
"General Contact","ಸಾಮಾನ್ಯ ಸಂಪರ್ಕ"
"Customer Support","ಗ್ರಾಹಕ ಸೇವೆ"
"Template Settings","ಮಾದರಿಯ ಸಂಯೋಜನೆಗಳು"
"JavaScript Settings","JavaScript ಸಂಯೋಜನೆಗಳು"
"CSS Settings","CSS ಸಂಯೋಜನೆಗಳು"
Timezone,"ಸಮಯದ ವಲಯ"
Locale,‍ಸ್ಥಳೀಯ
"First Day of Week","ವಾರದ ಮೊದಲ ದಿನ"
"Weekend Days","ವಾರಾಂತ್ಯದ ದಿನಗಳು"
"Store Name","ಮಳಿಗೆ ಹೆಸರು"
"Store Phone Number","ಮಳಿಗೆ ದೂರವಾಣಿ ಸಂಖ್ಯೆ"
"Store Hours of Operation","ಮಳಿಗೆ ಕಾರ್ಯಾಚರಣೆಯ ಸಮಯ"
Country,ದೇಶ
Region/State,ರಾಜ್ಯ
"ZIP/Postal Code","ಪಿನ್ ಕೋಡ್"
City,ನಗರ
"Street Address","ಬೀದಿ ವಿಳಾಸ"
"Street Address Line 2","ಬೀದಿ ವಿಳಾಸದ 2ನೇ ಸಾಲು"
"VAT Number","VAT ಸಂಖ್ಯೆ"
"Single-Store Mode","ಏಕ-ಮಳಿಗೆ ಪ್ರಕಾರ"
"Disable Email Communications","ಮಿಂಚೆ ಸಂವಹನಗಳನ್ನು ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಿ"
"Maximum Width","ಗರಿಷ್ಟ ಅಗಲ"
"Maximum Height","ಗರಿಷ್ಟ ಎತ್ತರ"
Security,ಸುರಕ್ಷತೆ
Web,ಜಾಲತಾಣ
"Url Options","Url ಆಯ್ಕೆಗಳು"
"Default Pages","ನಿಯೋಜಿತ ಪುಟಗಳು"
Description,ವಿವರಣೆ
Tags,ಟ್ಯಾಗ್‌ಗಳು
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 ದೋಷ</h1><p>ಪುಟ ಕಂಡುಬಂದಿಲ್ಲ.</p>"
"Community Edition","ಸಮುದಾಯ ಆವೃತ್ತಿ"
"Default Theme","ನಿಯೋಜಿತ ಥೀಮ್"
"Applied Theme","ಅನ್ವಯಿಸಿದ ಥೀಮ್"
"Design Rule","ವಿನ್ಯಾಸ ನಿಯಮ"
Pagination,ಪುಟೀಕರಣ
"Theme Name","ಥೀಮ್ ಹೆಸರು"
"System Backup","ವ್ಯವಸ್ಥೆ ಬ್ಯಾಕಪ್"
"Database and Media Backup","ಡೇಟಾಬೇಸ್ ಮತ್ತು ಮಾಧ್ಯಮ ಬ್ಯಾಕಪ್"
"Database Backup","ಡೇಟಾಬೇಸ್ ಬ್ಯಾಕಪ್"
"You need more free space to create a backup.","ಬ್ಯಾಕಪ್ ಅನ್ನು ರಚಿಸಲು ನಿಮಗೆ ಹೆಚ್ಚಿನ ಖಾಲಿ ಜಾಗದ ಅಗತ್ಯವಿದೆ."
"You need more permissions to create a backup.","ಬ್ಯಾಕಪ್ ಅನ್ನು ರಚಿಸಲು ನಿಮಗೆ ಹೆಚ್ಚಿನ ಅನುಮತಿಗಳ ಅಗತ್ಯವಿದೆ."
Backups,ಬ್ಯಾಕಪ್‍ಗಳು
Backup,ಬ್ಯಾಕಪ್‍
"We can't delete one or more backups.","ಒಂದಕ್ಕಿಂತ ಹೆಚ್ಚು ಬ್ಯಾಕಪ್ ಗಳನ್ನು ನಾವು ಅಳಿಸಲಾಗುವುದಿಲ್ಲ."
failed,ವಿಫಲಗೊಂಡಿದೆ
successful,ಯಶಸ್ವಿಯಾಗಿದೆ
"You deleted the selected backup(s).","ನೀವು ಆಯ್ಕೆಮಾಡಿದ ಬ್ಯಾಕಪ್(ಗಳ) ನ್ನು ಅಳಿಸಿದ್ದೀರಿ."
"Please correct the password.","ಗುಪ್ತಪದವನ್ನು ದಯವಿಟ್ಟು ಸರಿಪಡಿಸಿ."
Database,ಡೇಟಾಬೇಸ್
"Database and Media","ಡೇಟಾಬೇಸ್ ಮತ್ತು ಮಾಧ್ಯಮ"
